Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
r6gd.xlarge,True,arm64,4,1,4,,,32768,default,237.0,Up to 10 Gigabit,1188.0,False,0.2304
r8g.xlarge,True,arm64,4,1,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.23564
r5.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 10 Gigabit,1150.0,False,0.252
r6i.xlarge,False,x86_64,2,2,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.252
r5ad.xlarge,True,x86_64,2,2,4,,,32768,default,150.0,Up to 10 Gigabit,1085.0,False,0.262
r8i-flex.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 12.5 Gigabit,630.0,False,0.26394
r7i.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.2646
r4.xlarge,False,x86_64,2,2,4,,,31232,default,,Up to 10 Gigabit,850.0,False,0.266
r7gd.xlarge,True,arm64,4,1,4,,,32768,default,237.0,Up to 12.5 Gigabit,1250.0,False,0.2722
r8i.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.27784
r5d.xlarge,True,x86_64,2,2,4,,,32768,default,150.0,Up to 10 Gigabit,1150.0,False,0.288
r8gd.xlarge,True,arm64,4,1,4,,,32768,default,237.0,Up to 12.5 Gigabit,1250.0,False,0.29392
r5n.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 25 Gigabit,1150.0,False,0.298
r5b.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 10 Gigabit,2500.0,False,0.298
r6id.xlarge,True,x86_64,2,2,4,,,32768,default,237.0,Up to 12.5 Gigabit,1250.0,False,0.3024
r7a.xlarge,True,x86_64,4,1,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.3043
r8a.xlarge,True,x86_64,4,1,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.31952
